place_id,lugar_id,place_name,standardize_label,alt_names,place_type,es_parte,latitude,longitude,language,source,uri,country_code,mentioned_as
49,49,Querco,Querco,,viceparroquia,77,-13.97954,-74.97679,es,Grecia Roque (collaborator GIS data),,PE,['Querco']
50,50,Sacsamarca,Sacsamarca,,pueblo,31,-13.94285,-74.31253,es,Grecia Roque (collaborator GIS data),,PE,['Sacsamarca']
51,51,Pantati,Pantati,,,,-15.36847,-75.95752,es,Grecia Roque (collaborator GIS data),,PE,['pantati']
52,52,Santa Ana de Aucará,Santa Ana de Aucará,Santa Ana,iglesia viceparroquial|cementerio o panteón,8,-14.19929,-74.08823,es,Grecia Roque (collaborator GIS data),,PE,"['Santa Ana', 'Santa Ana de Aucara']"
53,53,Saycasa,Saycasa,Saicasa,caserio,,-14.18216,-74.11058,es,Grecia Roque (collaborator GIS data),,PE,['Saicasa']
54,54,Sondondo,Sondondo,,iglesia viceparroquial,11,-14.29984,-73.93791,es,Grecia Roque (collaborator GIS data),,PE,['Sondondo']
55,55,Soras,Soras,,parroquia,,-14.11497,-73.60384,es,Grecia Roque (collaborator GIS data),,PE,['Soras']
56,56,Taccya,Taccya,,caserio,,-14.19511,-74.07251,es,Grecia Roque (collaborator GIS data),,PE,['Taccya']
57,57,Taulli,Taulli,,pueblo,,-13.76839,-74.33599,es,Grecia Roque (collaborator GIS data),,PE,['Taulli']
58,58,Umasi,Umasi,Umaci|Humasi,caserio|cementerio o panteón,8,-14.12727,-74.03073,es,Grecia Roque (collaborator GIS data),,PE,"['Humari', 'Umaci', 'Umasi', 'Umasi, capilla', 'Umasi, caserio', 'Umasi, cementerio general', 'Umasi, panteón', 'Umasi, panteón general', 'Humasi']"
59,59,Vilcas,Vilcas,,,,-13.65304,-73.95391,es,Grecia Roque (collaborator GIS data),,PE,['Vilcas']
60,60,Huacaña,Huacaña,,parroquia,,-14.17188,-73.88631,es,Grecia Roque (collaborator GIS data),,PE,['Huacaña']
