Condición_legitimacy_status,Condición_marital_status,Condición_social_condition
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
,,indio
legitimo,,español
legitimo,,indio
,,indio
,,indio
legitimo,,indio
,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,español
,,español
ilegitimo,,
,,
ilegitimo,,
legitimo,,tributario
legitimo,,tributario
ilegitimo,,tributario
,,tributario
,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
,,tributario
legitimo,,tributario
,,tributario
,,tributario
,,tributario
ilegitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
,,tributario
,,tributario
,,tributario
,,tributario
legitimo,,tributario
,,tributario
legitimo,,tributario
,,tributario
legitimo,,tributario
,,tributario
legitimo,,tributario
,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
legitimo,,tributario
,,español
legitimo,,tributario
,,tributario
legitimo,,tributario
ilegitimo,,español
ilegitimo,,tributario
legitimo,,tributario
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
legitimo,,
,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
ilegitimo,,
legitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,
,,
legitimo,,
,,
,,
,,
legitimo,,
,,
ilegitimo,,
ilegitimo,,
,,
,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
,,
,,
ilegitimo,,
,,
ilegitimo,,
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
ilegitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
ilegitimo,,
ilegitimo,,
,,
,,
,,
legitimo,,
legitimo,,
,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
,,
legitimo,,
,,
ilegitimo,,
,,
legitimo,,
,,
,,
,,
,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
,,
ilegitimo,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
ilegitimo,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
,,
,,
,,
ilegitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
,,
ilegitimo,,
,,
,,
legitimo,,
legitimo,,
,,
,,
,,
legitimo,,
,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
ilegitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
,,
,,
,,
,,
,,
,,
,,
legitimo,,
,,
,,
,,
,,
,,
ilegitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
ilegitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,
ilegitimo,,
ilegitimo,,
,,
legitimo,,
ilegitimo,,
legitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
legitimo,,
,,
ilegitimo,,
,,
legitimo,,
,,
,,
ilegitimo,,
,,
,,
,,
,,
ilegitimo,,
,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,español
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,español
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,español
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,español
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
