uri,place,country,place_type,standardize_label,language,latitude,longitude,source,id,country_code,part_of,part_of_uri,confidence,threshold,match_type
http://sws.geonames.org/3933584/,Paico,PE,city,Paico,es,-14.03831,-73.6421,GeoNames,3933584.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3959072/,Paire,PE,city,Paire,es,-14.15806,-73.97583,GeoNames,3959072.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3933486/,Palco,PE,city,Palco,es,-14.41195,-74.65103,GeoNames,3933486.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3693998/,Pampa,PE,city,Pampa Grande,es,-6.75169,-79.48101,GeoNames,3693998.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3933218/,Pampamarca,PE,city,Pampamarca,es,-14.14639,-71.45944,GeoNames,3933218.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3932625/,Pausa,PE,city,Pausa,es,-15.27972,-73.34583,GeoNames,3932625.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3932227/,Pincocalla,PE,city,Pincocalla,es,-14.11972,-73.91556,GeoNames,3932227.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/13318763/,Poma,PE,city,Poma Patacollo,es,-16.44801,-69.19417,GeoNames,13318763.0,PE,,,100.0,70.0,exact
http://sws.geonames.org/3934356/,Nasca,PE,city,Provincia de Nazca,es,-14.83098,-74.93895,GeoNames,3934356.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3931276/,Puna,PE,city,Puno,es,-15.84003,-70.02198,GeoNames,3931276.0,PE,,,100.0,70.0,exact
http://sws.geonames.org/3931223/,Puquio,PE,city,Puquio,es,-14.7,-74.13333,GeoNames,3931223.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3931090/,Queca,PE,city,Queca,es,-14.26806,-73.94236,GeoNames,3931090.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3930956/,Querco,PE,city,Querco,es,-13.98039,-74.9765,GeoNames,3930956.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3930947/,Querobamba,PE,city,Querobamba,es,-13.86667,-73.83333,GeoNames,3930947.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3930088/,Sacsamarca,PE,city,Sacsamarca,es,-13.15085,-74.27869,GeoNames,3930088.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3929611/,San Jeronimo,PE,city,San Jeronimo De Tunan,es,-11.95591,-75.28411,GeoNames,3929611.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3929521/,San Juan de Lucanas,PE,city,San Juan,es,-15.32059,-74.33395,GeoNames,3929521.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3692357/,Colca,PE,city,San Nicolás,es,-6.92831,-79.61352,GeoNames,3692357.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3692310/,San Pedro,PE,city,San Pedro de Lloc,es,-7.4289,-79.50416,GeoNames,3692310.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3929293/,Santa Ana de Aucara,PE,city,Santa Ana,es,-14.19904,-74.08815,GeoNames,3929293.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3929295/,Santa Ana,PE,city,Santa Ana,es,-12.86667,-72.71667,GeoNames,3929295.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3929281/,Huaycahuacho,PE,city,Santa Ana de Huaycahuacho,es,-14.95,-73.21667,GeoNames,3929281.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/12157007/,santa,PE,city,Santa Anita - Los Ficus,es,-12.05048,-76.97335,GeoNames,12157007.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3929204/,iglesia,PE,city,Santa Iglesia,es,-13.9,-74.18333,GeoNames,3929204.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/11511537/,santa madre,PE,city,Santa María,es,-11.89444,-69.00589,GeoNames,11511537.0,PE,,,90.0,90.0,fuzzy
http://sws.geonames.org/3928450/,Sondondo,PE,city,Sondondo,es,-14.29795,-73.93928,GeoNames,3928450.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/13238703/,Soras,PE,city,Soras Pata,es,-14.23741,-70.65011,GeoNames,13238703.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/13254983/,Taulli,PE,city,Taulli,es,-9.48183,-77.04693,GeoNames,13254983.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/13238711/,Umasi,PE,city,Umasi,es,-14.89142,-70.68701,GeoNames,13238711.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3926141/,Vilcas,PE,city,Vilcashuamán,es,-13.65361,-73.95306,GeoNames,3926141.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3820188/,Villa de San Juan,PE,city,Villa San Juan,es,-6.37252,-79.80292,GeoNames,3820188.0,PE,,,90.32258064516128,90.0,fuzzy
http://sws.geonames.org/3925848/,Yanaccollpa,PE,city,Yanaccollpa,es,-13.62639,-73.63083,GeoNames,3925848.0,PE,,,100.0,90.0,exact
